"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"60","#WALC2019 una experiencia interesante.",FALSE,0,NA,2019-11-14 22:51:24,FALSE,NA,"1195112020061884417",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Chrislo_Edu",0,FALSE,FALSE,NA,NA
"61","#walc2019 muy interesantes todos los temas....  y los premios?",FALSE,0,NA,2019-11-14 22:51:22,FALSE,NA,"1195112011442597889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chinosantosgt",0,FALSE,FALSE,NA,NA
"62","#WALC2019 Excelente creciendo en Big Data",FALSE,0,NA,2019-11-14 22:51:15,FALSE,NA,"1195111982686461952",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Elobo333",0,FALSE,FALSE,NA,NA
"63","Muy buen contenido, faltan los premios <U+0001F62C> #WALC2019",FALSE,0,NA,2019-11-14 22:51:10,FALSE,NA,"1195111963807887361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlejitoAlvarezD",0,FALSE,FALSE,NA,NA
"64","#WALC2019 Excelente!",FALSE,0,NA,2019-11-14 22:50:41,FALSE,NA,"1195111838628880385",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Survivor1186",0,FALSE,FALSE,NA,NA
"65","#walc2019 #Guatemala Excelentr taller de #bigdata con el Profesor Efren de #CostaRica",FALSE,0,NA,2019-11-14 22:50:36,FALSE,NA,"1195111819158929409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jam_best2010",0,FALSE,FALSE,NA,NA
"66","Partipando de WALC2019 en Guatemala. #ManuelRodas https://t.co/ZrG56IK4am",FALSE,0,NA,2019-11-14 20:52:04,FALSE,NA,"1195081991542263808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frodas",0,FALSE,FALSE,NA,NA
"67","RT @mzaghi: #walc2019 en # Guatemala https://t.co/RV9bvYY4xY",FALSE,0,NA,2019-11-14 15:26:18,FALSE,NA,"1195000009302978561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiriamRubio1",1,TRUE,FALSE,NA,NA
"68","RT @Caruchy: ISOC LACISOC_LAC: <U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad de Guatemal…",FALSE,0,NA,2019-11-14 02:43:25,FALSE,NA,"1194808020208955392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rrcriollo",1,TRUE,FALSE,NA,NA
"69","Esta semana participamos del #WALC2019 en Guatemala. Encuentra información sobre este evento aquí… https://t.co/J17dH4ma0c",FALSE,5,NA,2019-11-13 18:11:27,TRUE,NA,"1194679181289906176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lacnic",1,FALSE,FALSE,NA,NA
"70","#walc2019 en # Guatemala https://t.co/RV9bvYY4xY",FALSE,2,NA,2019-11-13 17:33:16,FALSE,NA,"1194669571107676160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mzaghi",1,FALSE,FALSE,NA,NA
"71","RT @ISOC_LAC: <U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad de Guatemala. ¡Conoce de qué…",FALSE,0,NA,2019-11-13 05:55:42,FALSE,NA,"1194494023869911042",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fmicalizzi",7,TRUE,FALSE,NA,NA
"72","RT @ISOC_LAC: <U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad de Guatemala. ¡Conoce de qué…",FALSE,0,NA,2019-11-13 03:22:12,FALSE,NA,"1194455392014786560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","isocguatemala",7,TRUE,FALSE,NA,NA
"73","RT @ISOC_LAC: <U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad de Guatemala. ¡Conoce de qué…",FALSE,0,NA,2019-11-13 01:41:43,FALSE,NA,"1194430107424894979",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CEABADonline",7,TRUE,FALSE,NA,NA
"74","RT @ISOC_LAC: <U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad de Guatemala. ¡Conoce de qué…",FALSE,0,NA,2019-11-12 23:24:37,FALSE,NA,"1194395605885472770",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ralonsoreyes",7,TRUE,FALSE,NA,NA
"75","RT @ISOC_LAC: <U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad de Guatemala. ¡Conoce de qué…",FALSE,0,NA,2019-11-12 22:03:43,FALSE,NA,"1194375244812890113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cdenis_polanco",7,TRUE,FALSE,NA,NA
"76","ISOC LACISOC_LAC: <U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad… https://t.co/2Abs8sk39C",FALSE,0,NA,2019-11-12 19:57:42,TRUE,NA,"1194343530375909377",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Caruchy",1,FALSE,FALSE,NA,NA
"77","<U+0001F4E2>Esta semana participamos de los talleres sobre Tecnologías de #Redes del #WALC2019 en la Ciudad de Guatemala. ¡Con… https://t.co/WvxBLkyXsr",FALSE,17,NA,2019-11-12 19:44:31,TRUE,NA,"1194340213067337728",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ISOC_LAC",7,FALSE,FALSE,NA,NA
"78","RT @andyvega82: Inicia https://t.co/ySJwXvnWZm y https://t.co/L1E1tK5hkC con https://t.co/B7698YbVRn  presente.",FALSE,0,NA,2019-11-12 13:03:52,FALSE,NA,"1194239387481133058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jgochoa22",5,TRUE,FALSE,NA,NA
"79","RT @andyvega82: Inicia https://t.co/ySJwXvnWZm y https://t.co/L1E1tK5hkC con https://t.co/B7698YbVRn  presente.",FALSE,0,NA,2019-11-12 00:32:19,FALSE,NA,"1194050253512728577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rpabelm",5,TRUE,FALSE,NA,NA
"80","RT @andyvega82: Inicia https://t.co/ySJwXvnWZm y https://t.co/L1E1tK5hkC con https://t.co/B7698YbVRn  presente.",FALSE,0,NA,2019-11-11 23:44:52,FALSE,NA,"1194038313793011717",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","christian11_10",5,TRUE,FALSE,NA,NA
"81","RT @andyvega82: Inicia https://t.co/ySJwXvnWZm y https://t.co/L1E1tK5hkC con https://t.co/B7698YbVRn  presente.",FALSE,0,NA,2019-11-11 23:29:18,FALSE,NA,"1194034393322606592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelValarez6",5,TRUE,FALSE,NA,NA
"82","Inicia https://t.co/ySJwXvnWZm y https://t.co/L1E1tK5hkC con https://t.co/B7698YbVRn  presente.",FALSE,5,NA,2019-11-11 23:03:45,FALSE,NA,"1194027963467124736",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","andyvega82",5,FALSE,FALSE,NA,NA
